t,s,x,y,psi,vx,vy,dpsi,delta,ax,ay,ddpsi,jerk,R_cmd,ddelta_cmd,ey,epsi,dv,v_ref,x_ref,y_ref,psi_ref,alpha,dmin,v_lead,d_gap,Fx_f,Fx_r,Fy_f,Fy_r,Fz_f,Fz_r,Mz,alpha_f,alpha_r
0.000000,0.000000,1.252547,-1.835226,0.011792,25.052684,0.000367,0.000227,0.000094,1.053678,0.007339,0.004544,21.073565,906.163878,0.001879,0.000000,0.000000,-7.947316,33.000000,0.000000,-1.850000,0.011780,0.000000,399.000528,33.000000,150.397366,-0.000398,906.163878,4.231161,-0.008110,4467.951151,3968.648849,7.629066,-0.000063,0.000000
0.050000,1.230757,2.507711,-1.820405,0.011812,25.105023,0.000379,0.000412,0.000107,1.046778,0.000245,0.003688,20.935565,900.229767,0.000263,0.000019,0.000012,-7.894977,33.000000,1.230757,-1.835501,0.011780,0.000000,397.748007,33.000000,150.792115,-0.000450,900.229767,4.197995,0.663772,4468.848168,3967.751832,6.494357,-0.000062,-0.000011
0.100000,2.485924,3.765474,-1.805547,0.011836,25.157019,0.000025,0.000467,0.000076,1.039924,-0.007092,0.001105,-0.275092,894.334350,-0.000617,0.000053,0.000034,-7.842981,33.000000,2.485924,-1.820715,0.011778,0.000000,396.492870,33.000000,151.184264,-0.000214,894.334350,2.812108,1.712403,4469.739336,3966.860664,2.321949,-0.000042,-0.000029
0.150000,3.743692,5.025820,-1.790653,0.011856,25.208675,-0.000478,0.000403,0.000031,1.033113,-0.010050,-0.001279,-0.273299,888.477420,-0.000913,0.000099,0.000060,-7.791325,33.000000,3.743692,-1.805902,0.011775,0.000000,395.235135,33.000000,151.573830,-0.000043,888.477420,1.396751,2.655057,4470.624685,3965.975315,-1.733938,-0.000021,-0.000045
0.200000,5.004050,6.288731,-1.775725,0.011869,25.259992,-0.000918,0.000265,-0.000012,1.026347,-0.008795,-0.002767,-0.271528,882.658799,-0.000857,0.000154,0.000085,-7.740008,33.000000,5.004050,-1.791063,0.011771,0.000000,393.974817,33.000000,151.960830,0.000004,882.658799,0.351069,3.164465,4471.504245,3965.095755,-4.431220,-0.000005,-0.000053
0.250000,6.266970,7.554191,-1.760764,0.011874,25.310973,-0.001175,0.000097,-0.000045,1.019626,-0.005145,-0.003351,-0.269752,876.878386,-0.000652,0.000218,0.000103,-7.689027,33.000000,6.266970,-1.776199,0.011766,0.000000,392.711935,33.000000,152.345282,-0.000016,876.878386,-0.359404,3.131968,4472.378028,3964.221972,-5.658076,0.000005,-0.000053
0.300000,7.532441,8.822184,-1.745768,0.011870,25.361621,-0.001219,-0.000067,-0.000066,1.012948,-0.000883,-0.003285,-0.267976,871.135878,-0.000422,0.000294,0.000114,-7.638379,33.000000,7.532441,-1.761313,0.011760,0.000000,391.446505,33.000000,152.727201,-0.000058,871.135878,-0.883179,2.611349,4473.246081,3963.353919,-5.767881,0.000013,-0.000044
0.350000,8.800445,10.092692,-1.730740,0.011860,25.411936,-0.001078,-0.000210,-0.000078,1.006315,0.002812,-0.002865,-0.266216,865.430871,-0.000231,0.000382,0.000118,-7.588064,33.000000,8.800445,-1.746405,0.011752,0.000000,390.178544,33.000000,153.106604,-0.000105,865.430871,-1.355563,1.738645,4474.108466,3962.491534,-5.221846,0.000020,-0.000029
0.400000,10.070980,11.365699,-1.715682,0.011844,25.461923,-0.000808,-0.000327,-0.000082,0.999725,0.005411,-0.002326,-0.264473,859.763262,-0.000098,0.000483,0.000116,-7.538077,33.000000,10.070980,-1.731478,0.011743,0.000000,388.908067,33.000000,153.483508,-0.000153,859.763262,-1.854524,0.666749,4474.965198,3961.634802,-4.404941,0.000028,-0.000011
0.450000,11.344003,12.641189,-1.700598,0.011823,25.511582,-0.000465,-0.000417,-0.000083,0.993178,0.006860,-0.001811,-0.262745,854.132711,-0.000020,0.000598,0.000110,-7.488418,33.000000,11.344003,-1.716534,0.011734,0.000000,387.635093,33.000000,153.857929,-0.000201,854.132711,-2.404720,-0.473489,4475.816328,3960.783672,-3.570914,0.000036,0.000008
